,name,positions,player_url,number,height,weight,team,Year
339,Shai Gilgeous-Alexander,SG,https://www.basketball-reference.com/players/g/gilgesh01.html,2,6-5,180,Oklahoma City Thunder,2020
340,Chris Paul,PG,https://www.basketball-reference.com/players/p/paulch01.html,3,6-1,175,Oklahoma City Thunder,2020
341,Dennis Schroder,PG,https://www.basketball-reference.com/players/s/schrode01.html,17,6-1,172,Oklahoma City Thunder,2020
342,Steven Adams,C,https://www.basketball-reference.com/players/a/adamsst01.html,12,6-11,265,Oklahoma City Thunder,2020
343,Danilo Gallinari,PF,https://www.basketball-reference.com/players/g/gallida01.html,8,6-10,233,Oklahoma City Thunder,2020
344,Nerlens Noel,C,https://www.basketball-reference.com/players/n/noelne01.html,9,6-10,220,Oklahoma City Thunder,2020
345,Darius Bazley,PF,https://www.basketball-reference.com/players/b/bazleda01.html,7,6-8,208,Oklahoma City Thunder,2020
346,Terrance Ferguson,SF,https://www.basketball-reference.com/players/f/fergute01.html,23,6-6,190,Oklahoma City Thunder,2020
347,Abdel Nader,SF,https://www.basketball-reference.com/players/n/naderab01.html,11,6-5,225,Oklahoma City Thunder,2020
348,Mike Muscala,C,https://www.basketball-reference.com/players/m/muscami01.html,33,6-10,240,Oklahoma City Thunder,2020
349,Hamidou Diallo,SF,https://www.basketball-reference.com/players/d/diallha01.html,6,6-5,202,Oklahoma City Thunder,2020
350,Deonte Burton,SG,https://www.basketball-reference.com/players/b/burtode02.html,30,6-4,240,Oklahoma City Thunder,2020
351,Luguentz Dort,SG,https://www.basketball-reference.com/players/d/dortlu01.html,5,6-3,220,Oklahoma City Thunder,2020
352,Devon Hall,SG,https://www.basketball-reference.com/players/h/hallde01.html,14,6-2,215,Oklahoma City Thunder,2020
353,Kevin Hervey,PF,https://www.basketball-reference.com/players/h/herveke01.html,15,6-9,230,Oklahoma City Thunder,2020
354,Andre Roberson,SG,https://www.basketball-reference.com/players/r/roberan03.html,21,6-7,210,Oklahoma City Thunder,2020
355,Isaiah Roby,SF,https://www.basketball-reference.com/players/r/robyis01.html,22,6-8,230,Oklahoma City Thunder,2020
356,Markelle Fultz,PG,https://www.basketball-reference.com/players/f/fultzma01.html,20,6-3,209,Orlando Magic,2020
357,Terrence Ross,SG,https://www.basketball-reference.com/players/r/rosste01.html,8-31,6-6,206,Orlando Magic,2020
358,Evan Fournier,SG,https://www.basketball-reference.com/players/f/fournev01.html,10,6-7,205,Orlando Magic,2020
359,Nikola Vucevic,C,https://www.basketball-reference.com/players/v/vucevni01.html,9,6-11,260,Orlando Magic,2020
360,Aaron Gordon,PF,https://www.basketball-reference.com/players/g/gordoaa01.html,00,6-8,235,Orlando Magic,2020
361,Mo Bamba,C,https://www.basketball-reference.com/players/b/bambamo01.html,5,7-0,231,Orlando Magic,2020
362,D.J. Augustin,PG,https://www.basketball-reference.com/players/a/augusdj01.html,14,5-11,183,Orlando Magic,2020
363,Wesley Iwundu,SF,https://www.basketball-reference.com/players/i/iwundwe01.html,25,6-6,195,Orlando Magic,2020
364,Khem Birch,C,https://www.basketball-reference.com/players/b/birchkh01.html,24,6-9,233,Orlando Magic,2020
365,Michael Carter-Williams,SG,https://www.basketball-reference.com/players/c/cartemi01.html,7,6-5,190,Orlando Magic,2020
366,Jonathan Isaac,SF,https://www.basketball-reference.com/players/i/isaacjo01.html,1,6-11,230,Orlando Magic,2020
367,Gary Clark,PF,https://www.basketball-reference.com/players/c/clarkga01.html,12,6-6,225,Orlando Magic,2020
368,James Ennis,SF,https://www.basketball-reference.com/players/e/ennisja01.html,11,6-6,215,Orlando Magic,2020
369,Melvin Frazier,SG,https://www.basketball-reference.com/players/f/frazime01.html,35,6-5,215,Orlando Magic,2020
370,Al-Farouq Aminu,PF,https://www.basketball-reference.com/players/a/aminual01.html,2,6-8,220,Orlando Magic,2020
371,B.J. Johnson,SF,https://www.basketball-reference.com/players/j/johnsbj01.html,13,6-7,200,Orlando Magic,2020
372,Vic Law,SF,https://www.basketball-reference.com/players/l/lawvi01.html,23,6-7,200,Orlando Magic,2020
373,Tobias Harris,PF,https://www.basketball-reference.com/players/h/harrito02.html,12,6-8,226,Philadelphia 76ers,2020
374,Furkan Korkmaz,SG,https://www.basketball-reference.com/players/k/korkmfu01.html,30,6-7,202,Philadelphia 76ers,2020
375,Mike Scott,PF,https://www.basketball-reference.com/players/s/scottmi01.html,1,6-7,237,Philadelphia 76ers,2020
376,Al Horford,C,https://www.basketball-reference.com/players/h/horfoal01.html,42,6-9,240,Philadelphia 76ers,2020
377,Matisse Thybulle,SG,https://www.basketball-reference.com/players/t/thybuma01.html,22,6-5,201,Philadelphia 76ers,2020
378,Ben Simmons,PG,https://www.basketball-reference.com/players/s/simmobe01.html,25,6-10,240,Philadelphia 76ers,2020
379,Josh Richardson,SG,https://www.basketball-reference.com/players/r/richajo01.html,0,6-5,200,Philadelphia 76ers,2020
380,Raul Neto,PG,https://www.basketball-reference.com/players/n/netora01.html,19,6-1,180,Philadelphia 76ers,2020
381,Joel Embiid,C,https://www.basketball-reference.com/players/e/embiijo01.html,21,7-0,280,Philadelphia 76ers,2020
382,Shake Milton,SG,https://www.basketball-reference.com/players/m/miltosh01.html,18,6-5,205,Philadelphia 76ers,2020
383,Kyle O'Quinn,C,https://www.basketball-reference.com/players/o/oquinky01.html,9,6-9,250,Philadelphia 76ers,2020
384,Norvel Pelle,C,https://www.basketball-reference.com/players/p/pelleno01.html,14,6-10,231,Philadelphia 76ers,2020
385,Alec Burks,SG,https://www.basketball-reference.com/players/b/burksal01.html,20,6-6,214,Philadelphia 76ers,2020
386,Glenn Robinson III,SF,https://www.basketball-reference.com/players/r/robingl02.html,40,6-6,222,Philadelphia 76ers,2020
387,Zhaire Smith,SG,https://www.basketball-reference.com/players/s/smithzh01.html,5,6-3,205,Philadelphia 76ers,2020
388,Marial Shayok,SG,https://www.basketball-reference.com/players/s/shayoma01.html,35,6-5,198,Philadelphia 76ers,2020
389,Ryan Broekhoff,F,https://www.basketball-reference.com/players/b/broekry01.html,,6-6,215,Philadelphia 76ers,2020
390,Mikal Bridges,SF,https://www.basketball-reference.com/players/b/bridgmi01.html,25,6-6,209,Phoenix Suns,2020
391,Devin Booker,SG,https://www.basketball-reference.com/players/b/bookede01.html,1,6-5,206,Phoenix Suns,2020
392,Dario Saric,PF,https://www.basketball-reference.com/players/s/saricda01.html,20,6-10,225,Phoenix Suns,2020
393,Ricky Rubio,PG,https://www.basketball-reference.com/players/r/rubiori01.html,11,6-3,190,Phoenix Suns,2020
394,Jevon Carter,PG,https://www.basketball-reference.com/players/c/carteje01.html,4,6-1,200,Phoenix Suns,2020
395,Cameron Johnson,PF,https://www.basketball-reference.com/players/j/johnsca02.html,23,6-8,210,Phoenix Suns,2020
396,Kelly Oubre Jr.,SF,https://www.basketball-reference.com/players/o/oubreke01.html,3,6-7,203,Phoenix Suns,2020
397,Elie Okobo,PG,https://www.basketball-reference.com/players/o/okoboel01.html,2,6-3,190,Phoenix Suns,2020
398,Cheick Diallo,C,https://www.basketball-reference.com/players/d/diallch01.html,14,6-8,219,Phoenix Suns,2020
399,Aron Baynes,C,https://www.basketball-reference.com/players/b/baynear01.html,46,6-10,260,Phoenix Suns,2020
400,Frank Kaminsky,C,https://www.basketball-reference.com/players/k/kaminfr01.html,8,7-0,240,Phoenix Suns,2020
401,Deandre Ayton,C,https://www.basketball-reference.com/players/a/aytonde01.html,22,6-11,250,Phoenix Suns,2020
402,Ty Jerome,PG,https://www.basketball-reference.com/players/j/jeromty01.html,10,6-5,195,Phoenix Suns,2020
403,Cameron Payne,PG,https://www.basketball-reference.com/players/p/payneca01.html,15,6-3,190,Phoenix Suns,2020
404,Jalen Lecque,PG,https://www.basketball-reference.com/players/l/lecquja01.html,0,6-3,185,Phoenix Suns,2020
405,Tariq Owens,PF,https://www.basketball-reference.com/players/o/owensta01.html,41,6-10,205,Phoenix Suns,2020
406,CJ McCollum,SG,https://www.basketball-reference.com/players/m/mccolcj01.html,3,6-3,190,Portland Trail Blazers,2020
407,Anfernee Simons,SG,https://www.basketball-reference.com/players/s/simonan01.html,1,6-3,181,Portland Trail Blazers,2020
408,Hassan Whiteside,C,https://www.basketball-reference.com/players/w/whiteha01.html,21,7-0,265,Portland Trail Blazers,2020
409,Damian Lillard,PG,https://www.basketball-reference.com/players/l/lillada01.html,0,6-2,195,Portland Trail Blazers,2020
410,Gary Trent Jr.,SG,https://www.basketball-reference.com/players/t/trentga02.html,2,6-5,209,Portland Trail Blazers,2020
411,Carmelo Anthony,PF,https://www.basketball-reference.com/players/a/anthoca01.html,00,6-8,238,Portland Trail Blazers,2020
412,Mario Hezonja,PF,https://www.basketball-reference.com/players/h/hezonma01.html,44,6-8,220,Portland Trail Blazers,2020
413,Nassir Little,PF,https://www.basketball-reference.com/players/l/littlna01.html,9,6-5,220,Portland Trail Blazers,2020
414,Trevor Ariza,SF,https://www.basketball-reference.com/players/a/arizatr01.html,8,6-8,215,Portland Trail Blazers,2020
415,Rodney Hood,SF,https://www.basketball-reference.com/players/h/hoodro01.html,5,6-8,208,Portland Trail Blazers,2020
416,Caleb Swanigan,PF,https://www.basketball-reference.com/players/s/swanica01.html,50,6-9,260,Portland Trail Blazers,2020
417,Wenyen Gabriel,PF,https://www.basketball-reference.com/players/g/gabriwe01.html,35,6-9,200,Portland Trail Blazers,2020
418,Jaylen Hoard,SF,https://www.basketball-reference.com/players/h/hoardja01.html,6,6-8,216,Portland Trail Blazers,2020
419,Zach Collins,PF,https://www.basketball-reference.com/players/c/colliza01.html,33,6-11,250,Portland Trail Blazers,2020
420,Moses Brown,C,https://www.basketball-reference.com/players/b/brownmo01.html,4,7-2,245,Portland Trail Blazers,2020
421,Jusuf Nurkic,C,https://www.basketball-reference.com/players/n/nurkiju01.html,27,7-0,290,Portland Trail Blazers,2020
422,Jaylen Adams,PG,https://www.basketball-reference.com/players/a/adamsja01.html,10,6-2,190,Portland Trail Blazers,2020
423,Buddy Hield,SG,https://www.basketball-reference.com/players/h/hieldbu01.html,24,6-4,220,Sacramento Kings,2020
424,Harrison Barnes,PF,https://www.basketball-reference.com/players/b/barneha02.html,40,6-8,225,Sacramento Kings,2020
425,Nemanja Bjelica,PF,https://www.basketball-reference.com/players/b/bjeline01.html,88,6-10,234,Sacramento Kings,2020
426,Cory Joseph,PG,https://www.basketball-reference.com/players/j/josepco01.html,9,6-3,200,Sacramento Kings,2020
427,Bogdan Bogdanovic,SG,https://www.basketball-reference.com/players/b/bogdabo01.html,8,6-6,220,Sacramento Kings,2020
428,De'Aaron Fox,PG,https://www.basketball-reference.com/players/f/foxde01.html,5,6-3,185,Sacramento Kings,2020
429,Yogi Ferrell,PG,https://www.basketball-reference.com/players/f/ferreyo01.html,3,6-0,178,Sacramento Kings,2020
430,Harry Giles,PF,https://www.basketball-reference.com/players/g/gilesha01.html,20,6-11,240,Sacramento Kings,2020
431,Richaun Holmes,C,https://www.basketball-reference.com/players/h/holmeri01.html,22,6-10,235,Sacramento Kings,2020
432,Justin James,SG,https://www.basketball-reference.com/players/j/jamesju01.html,10,6-7,190,Sacramento Kings,2020
433,Kent Bazemore,SG,https://www.basketball-reference.com/players/b/bazemke01.html,26,6-4,195,Sacramento Kings,2020
434,Alex Len,C,https://www.basketball-reference.com/players/l/lenal01.html,25,7-0,250,Sacramento Kings,2020
435,Marvin Bagley III,PF,https://www.basketball-reference.com/players/b/baglema01.html,35,6-11,235,Sacramento Kings,2020
436,DaQuan Jeffries,SG,https://www.basketball-reference.com/players/j/jeffrda01.html,19,6-5,230,Sacramento Kings,2020
437,Jabari Parker,PF,https://www.basketball-reference.com/players/p/parkeja01.html,33,6-8,245,Sacramento Kings,2020
438,Corey Brewer,SG,https://www.basketball-reference.com/players/b/breweco01.html,13,6-9,186,Sacramento Kings,2020
439,Kyle Guy,SG,https://www.basketball-reference.com/players/g/guyky01.html,7,6-1,167,Sacramento Kings,2020
440,DeMar DeRozan,SF,https://www.basketball-reference.com/players/d/derozde01.html,10,6-6,220,San Antonio Spurs,2020
441,Derrick White,SG,https://www.basketball-reference.com/players/w/whitede01.html,4,6-4,190,San Antonio Spurs,2020
442,Rudy Gay,PF,https://www.basketball-reference.com/players/g/gayru01.html,22,6-8,250,San Antonio Spurs,2020
443,Patty Mills,PG,https://www.basketball-reference.com/players/m/millspa02.html,8,6-1,180,San Antonio Spurs,2020
444,Dejounte Murray,PG,https://www.basketball-reference.com/players/m/murrade01.html,5,6-4,180,San Antonio Spurs,2020
445,Jakob Poeltl,C,https://www.basketball-reference.com/players/p/poeltja01.html,25,7-1,245,San Antonio Spurs,2020
446,Bryn Forbes,SG,https://www.basketball-reference.com/players/f/forbebr01.html,11,6-2,205,San Antonio Spurs,2020
447,Trey Lyles,PF,https://www.basketball-reference.com/players/l/lylestr01.html,41,6-9,234,San Antonio Spurs,2020
448,Lonnie Walker,SG,https://www.basketball-reference.com/players/w/walkelo01.html,1,6-5,204,San Antonio Spurs,2020
449,Marco Belinelli,SG,https://www.basketball-reference.com/players/b/belinma01.html,18,6-5,220,San Antonio Spurs,2020
450,LaMarcus Aldridge,C,https://www.basketball-reference.com/players/a/aldrila01.html,12,6-11,250,San Antonio Spurs,2020
451,Drew Eubanks,PF,https://www.basketball-reference.com/players/e/eubandr01.html,14,6-9,245,San Antonio Spurs,2020
452,Chimezie Metu,PF,https://www.basketball-reference.com/players/m/metuch01.html,7,6-9,225,San Antonio Spurs,2020
453,Keldon Johnson,SF,https://www.basketball-reference.com/players/j/johnske04.html,3,6-5,220,San Antonio Spurs,2020
454,Quinndary Weatherspoon,SG,https://www.basketball-reference.com/players/w/weathqu01.html,15,6-3,205,San Antonio Spurs,2020
455,Luka Samanic,PF,https://www.basketball-reference.com/players/s/samanlu01.html,19,6-10,227,San Antonio Spurs,2020
456,Tyler Zeller,C,https://www.basketball-reference.com/players/z/zellety01.html,40,7-0,253,San Antonio Spurs,2020
457,Terence Davis,SG,https://www.basketball-reference.com/players/d/daviste02.html,0,6-4,201,Toronto Raptors,2020
458,OG Anunoby,SF,https://www.basketball-reference.com/players/a/anunoog01.html,3,6-7,232,Toronto Raptors,2020
459,Chris Boucher,PF,https://www.basketball-reference.com/players/b/bouchch01.html,25,6-9,200,Toronto Raptors,2020
460,Pascal Siakam,PF,https://www.basketball-reference.com/players/s/siakapa01.html,43,6-9,230,Toronto Raptors,2020
461,Rondae Hollis-Jefferson,SF,https://www.basketball-reference.com/players/h/holliro01.html,4,6-6,217,Toronto Raptors,2020
462,Kyle Lowry,PG,https://www.basketball-reference.com/players/l/lowryky01.html,7,6-0,196,Toronto Raptors,2020
463,Serge Ibaka,C,https://www.basketball-reference.com/players/i/ibakase01.html,9,7-0,235,Toronto Raptors,2020
464,Fred VanVleet,PG,https://www.basketball-reference.com/players/v/vanvlfr01.html,23,6-1,197,Toronto Raptors,2020
465,Norman Powell,SG,https://www.basketball-reference.com/players/p/powelno01.html,24,6-3,215,Toronto Raptors,2020
466,Marc Gasol,C,https://www.basketball-reference.com/players/g/gasolma01.html,33,6-11,255,Toronto Raptors,2020
467,Matt Thomas,SG,https://www.basketball-reference.com/players/t/thomama02.html,21,6-4,190,Toronto Raptors,2020
468,Patrick McCaw,SF,https://www.basketball-reference.com/players/m/mccawpa01.html,22,6-7,181,Toronto Raptors,2020
469,Malcolm Miller,SF,https://www.basketball-reference.com/players/m/millema01.html,13,6-7,210,Toronto Raptors,2020
470,Stanley Johnson,PF,https://www.basketball-reference.com/players/j/johnsst04.html,5,6-6,242,Toronto Raptors,2020
471,Oshae Brissett,SF,https://www.basketball-reference.com/players/b/brissos01.html,12,6-7,210,Toronto Raptors,2020
472,Paul Watson,SF,https://www.basketball-reference.com/players/w/watsopa01.html,1,6-7,215,Toronto Raptors,2020
473,Dewan Hernandez,C,https://www.basketball-reference.com/players/h/hernade01.html,20,6-10,235,Toronto Raptors,2020
474,Joe Ingles,SF,https://www.basketball-reference.com/players/i/inglejo01.html,2,6-7,220,Utah Jazz,2020
475,Royce O'Neale,PF,https://www.basketball-reference.com/players/o/onealro01.html,23,6-4,226,Utah Jazz,2020
476,Donovan Mitchell,SG,https://www.basketball-reference.com/players/m/mitchdo01.html,45,6-1,215,Utah Jazz,2020
477,Rudy Gobert,C,https://www.basketball-reference.com/players/g/goberru01.html,27,7-1,258,Utah Jazz,2020
478,Georges Niang,PF,https://www.basketball-reference.com/players/n/niangge01.html,31,6-7,230,Utah Jazz,2020
479,Bojan Bogdanovic,SF,https://www.basketball-reference.com/players/b/bogdabo02.html,44,6-8,226,Utah Jazz,2020
480,Tony Bradley,C,https://www.basketball-reference.com/players/b/bradlto01.html,13,6-10,248,Utah Jazz,2020
481,Emmanuel Mudiay,PG,https://www.basketball-reference.com/players/m/mudiaem01.html,8-15,6-3,200,Utah Jazz,2020
482,Mike Conley,PG,https://www.basketball-reference.com/players/c/conlemi01.html,10,6-1,175,Utah Jazz,2020
483,Jordan Clarkson,SG,https://www.basketball-reference.com/players/c/clarkjo01.html,00,6-4,194,Utah Jazz,2020
484,Ed Davis,C,https://www.basketball-reference.com/players/d/davised01.html,17,6-9,218,Utah Jazz,2020
485,Juwan Morgan,PF,https://www.basketball-reference.com/players/m/morgaju01.html,16,6-8,232,Utah Jazz,2020
486,Rayjon Tucker,SG,https://www.basketball-reference.com/players/t/tuckera01.html,6,6-5,210,Utah Jazz,2020
487,Miye Oni,SG,https://www.basketball-reference.com/players/o/onimi01.html,24-81,6-5,206,Utah Jazz,2020
488,Nigel Williams-Goss,PG,https://www.basketball-reference.com/players/w/willini01.html,0,6-2,190,Utah Jazz,2020
489,Jarrell Brantley,PF,https://www.basketball-reference.com/players/b/brantja01.html,5,6-5,250,Utah Jazz,2020
490,Justin Wright-Foreman,PG,https://www.basketball-reference.com/players/w/wrighju02.html,3,6-0,190,Utah Jazz,2020
491,Troy Brown Jr.,SG,https://www.basketball-reference.com/players/b/browntr01.html,6,6-6,215,Washington Wizards,2020
492,Ish Smith,PG,https://www.basketball-reference.com/players/s/smithis01.html,14,6-0,175,Washington Wizards,2020
493,Isaac Bonga,SF,https://www.basketball-reference.com/players/b/bongais01.html,17,6-8,180,Washington Wizards,2020
494,Bradley Beal,SG,https://www.basketball-reference.com/players/b/bealbr01.html,3,6-3,207,Washington Wizards,2020
495,Davis Bertans,PF,https://www.basketball-reference.com/players/b/bertada01.html,42,6-10,225,Washington Wizards,2020
496,Rui Hachimura,PF,https://www.basketball-reference.com/players/h/hachiru01.html,8,6-8,230,Washington Wizards,2020
497,Thomas Bryant,C,https://www.basketball-reference.com/players/b/bryanth01.html,13,6-10,248,Washington Wizards,2020
498,Moritz Wagner,C,https://www.basketball-reference.com/players/w/wagnemo01.html,21,6-11,245,Washington Wizards,2020
499,Ian Mahinmi,C,https://www.basketball-reference.com/players/m/mahinia01.html,28,6-11,262,Washington Wizards,2020
500,Admiral Schofield,SF,https://www.basketball-reference.com/players/s/schofad01.html,1,6-5,241,Washington Wizards,2020
501,Gary Payton II,PG,https://www.basketball-reference.com/players/p/paytoga02.html,20,6-3,190,Washington Wizards,2020
502,Anzejs Pasecniks,C,https://www.basketball-reference.com/players/p/pasecan01.html,18,7-1,229,Washington Wizards,2020
503,Jerome Robinson,SG,https://www.basketball-reference.com/players/r/robinje01.html,12,6-4,190,Washington Wizards,2020
504,Shabazz Napier,PG,https://www.basketball-reference.com/players/n/napiesh01.html,5,6-0,175,Washington Wizards,2020
505,Garrison Mathews,SG,https://www.basketball-reference.com/players/m/mathega01.html,24,6-5,215,Washington Wizards,2020
506,Johnathan Williams,C,https://www.basketball-reference.com/players/w/willijo04.html,19,6-9,228,Washington Wizards,2020
507,Jerian Grant,PG,https://www.basketball-reference.com/players/g/grantje02.html,22,6-4,205,Washington Wizards,2020
508,Jarrod Uthoff,SF,https://www.basketball-reference.com/players/u/uthofja01.html,7,6-9,221,Washington Wizards,2020
509,John Wall,G,https://www.basketball-reference.com/players/w/walljo01.html,,6-4,210,Washington Wizards,2020
